id,writeTimestamp,eventPlatform,name,eventLink,dateTime,location,summary,image
525601136147,null,Eventbrite,HACK'N'TALK | Built Environment Special,https://www.eventbrite.de/e/hackntalk-built-environment-special-tickets-525601136147,45042 21:00,Freddie-Mercury-Straße 5,"XPLORE is the pre-incubation program of the UnternehmerTUM. It is there for ambitious and motivated future entrepreneurs, who want to bring their start-up projects to the next level.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F476175139%2F1344314577523%2F1%2Foriginal.20230323-160606?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=1bfbf2bd6d05b104fda9a268d0301553
595765800547,null,Eventbrite,International Entrepreneurs' Night: Mobility #LondonMeetsMunich,https://www.eventbrite.co.uk/e/international-entrepreneurs-night-mobility-londonmeetsmunich-tickets-595765800547,45049 21:30,Vorhoelzer Forum,"At UnternehmerTUM, visions turn into successful businesses. Our teams empower innovative people to take entrepreneurial action. Together with start-ups and established companies, we drive tech venture...",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F474000639%2F144936322747%2F1%2Foriginal.20230321-115921?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=3125cfc92e96b405e87dd542994ee9e1
597897586777,null,Eventbrite,The Munich Product Conference 2023,https://www.eventbrite.ie/e/the-munich-product-conference-2023-tickets-597897586777,45071 20:00,Codecentric,"Product Network Europe\n unites Europe's Product Professionals, by making conferences and online communities across the European Continent.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F478700109%2F867315957643%2F1%2Foriginal.20230327-171811?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=883f0db1a065b17aa055916882acfe9a
607549455777,null,Eventbrite,ReFi Summit: Digitizing for a sustainable future,https://www.eventbrite.de/e/refi-summit-digitizing-for-a-sustainable-future-tickets-607549455777,45058 21:30,MINI Pavillon,"Join the Regenerative Finance Community and become part of our mission to make the Web 3.0 more inclusive and sustainable.\nTherefore, together with our friends from ReFi DAO , FUND THE PLANET and Vana...",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F499402739%2F1340642149223%2F1%2Foriginal.20230424-111321?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C6912%2C3456&s=579ab8753e6617f1a57a6b0e0cc911bc
602478538527,null,Eventbrite,Health Connects #7 - Live in Munich,https://www.eventbrite.com/e/health-connects-7-live-in-munich-tickets-602478538527,45055 23:00,Georg-Kalb-Straße 3,null,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F480399269%2F350175747899%2F1%2Foriginal.20230329-130415?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C13%2C1200%2C600&s=5ed81ffaa16d68a29e6d58a1fa32def3
616309086067,null,Eventbrite,Remote Workers: Legal and Tax Issues within Europe and Asia,https://www.eventbrite.com/e/remote-workers-legal-and-tax-issues-within-europe-and-asia-tickets-616309086067,45050 19:00,Munich,"Dezan Shira & Associates is a specialist foreign direct investment practice, providing corporate establishment, business advisory, tax advisory and compliance, accounting, payroll, due diligence and f...",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F491625139%2F217797200526%2F1%2Foriginal.20230413-073148?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=9d99cdaa022f0b6251d34e1515a234c1
605005336247,null,Eventbrite,GoforeMeets Ethical Design,https://www.eventbrite.com/e/goforemeets-ethical-design-tickets-605005336247,45070 22:00,Gofore GmbH (Gofore Munich),"We create tomorrow’s digital services and work culture today – we lead digital transformation, as well as design and build innovative solutions. \nWe’re made up of 1000+ people – top experts in our ind...",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F482346049%2F1478979932273%2F1%2Foriginal.20230331-142834?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C4860%2C2430&s=62b08d59e820d08259f215210db82ea8
585638639937,null,Eventbrite,Toll Global Forwarding Afterwork,https://www.eventbrite.com/e/toll-global-forwarding-afterwork-tickets-585638639937,45055 19:30,Messe München,null,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F467612529%2F1011741327583%2F1%2Foriginal.20230313-153421?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=b9e0b12797e61f8d33833bda887af3cf
618376600057,null,Eventbrite,Agile Speakers | Wine & Speak,https://www.eventbrite.com/e/agile-speakers-wine-speak-tickets-618376600057,45056 22:00,freiraum,"Scrum Master, Agile Developer and Outsourcing Partner",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F493648589%2F186215977689%2F1%2Foriginal.20230416-081010?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C2823%2C3540%2C1770&s=c4d4f78205e16b27cb8df22e50587949
622512340167,null,Eventbrite,How to invest in capital markets in Germany,https://www.eventbrite.de/e/how-to-invest-in-capital-markets-in-germany-tickets-622512340167,45066 14:00,HORBACH Expats,"You know HORBACH. Now get to know Horbach  Expats.  \nOur Why: Because financial freedom should be a right, not a privilege.\nWhat can we help you with? We provide high-end solutions for high-skilled mi...",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F498030089%2F436047218742%2F1%2Foriginal.20230421-134022?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=6729257c9d175fbd72504761e4bc573f
478178082517,null,Eventbrite,Virtual Speaking Masterclass Munich,https://www.eventbrite.com/e/virtual-speaking-masterclass-munich-tickets-478178082517,45071 21:00,Munich,"David McCrae helps aspiring speakers master virtual communication so that they can find their voice, tell their story and share their message.\nWhen David lost his dad to cancer at age 22, he realised ...",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F402367359%2F146186060097%2F1%2Foriginal.20201127-181631?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=245%2C0%2C1560%2C780&s=aea65dc2d8ee74586329d4d4e71a2cc3
530296510137,null,Eventbrite,"Introduction to Blockchain NFTs in Work, Entertainment and Social - Munich",https://www.eventbrite.co.uk/e/introduction-to-blockchain-nfts-in-work-entertainment-and-social-munich-tickets-530296510137,45070 21:00,TBD,JobCrypt is a new decentralised Job Board built on the Optimism blockchain. Our goal is to help onboard 1 million professionals into Web3 by using Web3. As a remote first decentralised organisation we...,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F498561739%2F1190023729283%2F1%2Foriginal.20230422-095557?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=dcc0884c2b76202308ecc9293c60bdc1
617138286227,null,Eventbrite,i3-Earth - Web3 simplified. Networking & Education,https://www.eventbrite.de/e/i3-earth-web3-simplified-networking-education-registration-617138286227,45072 22:00,Herzogspitalstraße 24,Web3 simplified.,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F498186499%2F639232965073%2F1%2Foriginal.20230421-164930?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=6%2C0%2C2036%2C1018&s=7dfbb6c5c99f586884f7cae62a1cb7b5
622680663627,null,Eventbrite,TUM Speakers Series with Manfred Weber,https://www.eventbrite.de/e/tum-speakers-series-with-manfred-weber-tickets-622680663627,45050 12:00,Technische Universität München,"The ""TUM Speakers Series - Leaders and Shapers"" is a series of guest lectures held by high-profile speakers at the Technical University of Munich (TUM), organized by student volunteers from several de...",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F500307729%2F171832441832%2F1%2Foriginal.20230425-101757?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=fb114bb10fd51f1630e7706074ec906f
623740975047,null,Eventbrite,Metaverse Design Lab - Exploring Perspectives,https://www.eventbrite.de/e/metaverse-design-lab-exploring-perspectives-tickets-623740975047,45058 19:30,Technische Universität München,null,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F500301739%2F202997015398%2F1%2Foriginal.20230425-100736?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=a57af2da22af743090e0024f6bdc8c36
619174316047,null,Eventbrite,Life Sciences Happy Hour!,https://www.eventbrite.com/e/life-sciences-happy-hour-tickets-619174316047,45078 22:00,München,null,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F494427639%2F168455099777%2F1%2Foriginal.20230417-160831?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C187%2C1080%2C540&s=eedafb51e3b1333a2242449462a3aa48
603602179367,null,Eventbrite,Building Innovation Ecosystems,https://www.eventbrite.de/e/building-innovation-ecosystems-tickets-603602179367,45112 12:00,Messe München,"TUM Venture Labs\n are new entrepreneurial innovation hubs re-enforcing in a unique way tech-based business creation at the interfaces of engineering, natural, life and data sciences and medicine. The ...",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F483826529%2F1453973091203%2F1%2Foriginal.20230403-121315?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=09c874e0274b0988628963e4375932cb
597663285977,null,Eventbrite,Crypto Oxygen presents BITCOIN FINANCING AT THE OKTOBERFEST,https://www.eventbrite.com/e/crypto-oxygen-presents-bitcoin-financing-at-the-oktoberfest-tickets-597663285977,45187 23:00,München,"Crypto Oxygen is leading M&A and due diligence advisory for crypto related businesses globally. If you are fundraising for scale or scouting for good investment targets, be it Bitcoin mining, DeFi pro...",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F475926989%2F1183124097593%2F1%2Foriginal.20230323-111027?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C44%2C2496%2C1248&s=74c480df8a07f5410efb60d4ad7bf4eb
578737207567,null,Eventbrite,Live Financial Planning Workshop in Munich,https://www.eventbrite.de/e/live-financial-planning-workshop-in-munich-tickets-578737207567,45213 17:00,HORBACH Expats,"You know HORBACH. Now get to know Horbach  Expats.  \nOur Why: Because financial freedom should be a right, not a privilege.\nWhat can we help you with? We provide high-end solutions for high-skilled mi...",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F464757809%2F436047218742%2F1%2Foriginal.20230309-105657?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=f154d1f5872332bba8a2dc4789dcbe03
567880805777,null,Eventbrite,MeasureCamp Munich 2023,https://www.eventbrite.com/e/measurecamp-munich-2023-tickets-567880805777,45101 22:00,Allianz Arena,null,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F457838319%2F1421670917793%2F1%2Foriginal.20230301-101949?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C181%2C4200%2C2100&s=6b96c040b1862870ba96288c5d6563cd
